20040,Moguer,24
20105,Teguise,43
20269,Alhama de Murcia,45
20360,Aspe,48
20407,Guadix,32
20418,Rosas,28
20450,Manlleu,50
20481,Algete,51
20535,Guía de Isora,40
20597,Ayamonte,24
20622,Pájara,43
20730,Alfafar,49
20755,Ribarroja del Turia,49
20862,Baena,35
20935,Carcagente,49
20948,Los Llanos de Aridane,40
20953,Rojales,48
21025,San Juan de Aznalfarache,46
21097,Maracena,32
21100,Mairena del Alcor,46
21111,Puebla de Vallbona,49
21216,Lalín,36
21220,Bétera,49
21266,Cabra,35
21268,Piélagos,27
21282,Las Torres de Cotillas,45
21331,Conil de la Frontera,44
21332,Alfaz del Pi,48
21365,Amposta,34
21373,Vilaseca,34
21448,Requena,49
21605,Palma del Río,35
21632,Medina del Campo,30
21688,Loja,32
21705,Barañáin,23
21717,Calatayud,38
21719,Isla Cristina,24
21828,La Estrada,36
21847,Moncada,49
21895,Armilla,32
21957,Nerja,47
21975,San Felíu de Guixols,28
21982,Baza,32
22011,Mondragón,29
22030,Coín,47
22042,Esparreguera,50
22110,Laguna de Duero,30
22117,Torrelodones,51
22136,San Antonio Abad,41
22138,San Juan de Alicante,48
22173,Cártama,47
22204,Almonte,24
22351,La Oliva,43
22409,Alboraya,49
22482,Illescas,17
22536,El Masnou,50
22555,Pilar de la Horadada,48
22587,Los Barrios,44
22622,Palafrugell,28
22638,Mogán,43
22656,Ciempozuelos,51
22658,Zarauz,29
22759,Alcalá la Real,25
22812,Mejorada del Campo,51
22832,Castrillón,39
22871,San José,41
22977,Barbate,44
22997,Liria,49
23066,Muchamiel,48
23115,Navalcarnero,51
23129,Castellar del Vallés,50
23310,Tomares,46
23316,Puenteareas,36
23410,Vícar,33
23563,Priego de Córdoba,35
23615,Tacoronte,40
23621,Cambre,37
23646,Olesa de Montserrat,50
23675,Alhaurín el Grande,47
23813,Cullera,49
23861,Ibi,48
23903,San Pedro del Pinatar,45
23907,Montilla,35
23980,Paiporta,49
24006,Altea,48
24140,Candelaria,40
24231,Icod de los Vinos,40
24236,Molins de Rey,50
24294,Erandio,42
24423,Calafell,34
24473,Gáldar,43
24512,Adra,33
24707,Martos,25
24876,Calahorra,16
25158,Valls,34
25191,Santa Perpetua de Moguda,50
25472,Cuart de Poblet,49
25628,Almazora,31
25654,Almansa,22
25778,Onda,31
25893,Pineda de Mar,50
25913,Cangas,36
25997,Marín,36
26015,Jumilla,45
26086,Camas,46
26111,Villanueva de la Serena,26
26449,Caravaca de la Cruz,45
26616,Benicarló,31
26682,San Andrés de la Barca,50
